Language,Hits
To,305
One,263
English,224
As,96
U,62
E,61
Ama,53
Spanish,37
Ari,36
Even,34
Sam,34
Day,17
German,16
Meta’,14
Arabic,14
Na,12
French,11
Mann,10
Mayo,8
Male,8
Label,7
Turkish,6
Ir,6
Chinese,5
Portuguese,4
Croatian,4
Tha,4
Pe,4
Dutch,4
Nasal,4
Logo,4
Irish,3
Wa,3
Una,2
Con,2
Kannada,2
Anal,2
En,2
Sa,2
Italian,2
So,2
Sui,2
Lau,2
Polish,1
Greek,1
Sake,1
Shan,1
Siri,1
Achi,1
Samaritan,1
Sari,1
Hebrew,1
Ak,1
Abu,1
Ha,1
Au,1
Baré,1
Chin,1
Latin,1
Malayalam,1
Norwegian,1
Danish,1
Kap,1
Alabama,1
Persian,1
So’a,1
Bit,1
Colorado,1
Od,1
Cua,1
Hindi,1
Russian,1
Alta,1
Ata,1
She,1
Maltese,1
Crow,1
Ga,1
Maori,1
Kim,1
Shabak,0
Umiida,0
Tereweng,0
Lillooet,0
Koalib,0
Gokana,0
Walla Walla,0
Arma,0
Asurini of Xingú,0
Lendu,0
Malo,0
Principense,0
Duruwa,0
Tzeltal,0
Kanju,0
ut-Ma’in,0
Erokwanas,0
Natioro,0
Rangkas,0
Melpa,0
Kakwa,0
Kibet,0
Nyamwezi,0
Ta’oih,0
Laghu,0
Miu,0
Ranglong,0
Seroa,0
Teke,0
Dhargari,0
Parkwa,0
Tswapong,0
Cheke Holo,0
Guayabero,0
Namiae,0
Nomatsigenga,0
Demisa,0
Papar,0
Vai,0
Mashco Piro,0
Kuvale,0
Lou,0
Lohar,0
Ishkashimi,0
Unserdeutsch,0
Qabiao,0
Walmajarri,0
Sáliba,0
Laomian,0
Karitiâna,0
Langbashe,0
Sikaiana,0
Dhangu-Djangu,0
Wersing,0
Boikin,0
Andra-Hus,0
Mongo-Nkundu,0
Kapinawá,0
Takua,0
Pannei,0
Chamari,0
Alagwa,0
Ntomba,0
Tonsea,0
Nggem,0
Mbowe,0
Namibian Sign Language,0
Kambaata,0
Thao,0
Malay,0
Nhanda,0
Koroni,0
Gula Iro,0
Matbat,0
Temiar,0
Kanembu,0
Hajong,0
Afade,0
Gitua,0
Tanggu,0
Uru-Eu-Wau-Wau,0
Ila,0
Latvian Sign Language,0
Sateré-Mawé,0
Nya Huba,0
Lavukaleve,0
Skepi Creole Dutch,0
Teke-Tsaayi,0
Abadi,0
Kuna,0
Paliyan,0
Wolaytta,0
Isu,0
Sri Lankan Sign Language,0
Wamas,0
Kula,0
Minidien,0
Bathari,0
Silopi,0
Mandar,0
Sebat Bet Gurage,0
Ghadamès,0
Sicilian,0
Thurawal,0
Sadri,0
Benyadu’,0
Midob,0
Menya,0
Bomitaba,0
Kutto,0
Njalgulgule,0
Haryanvi,0
Zimbabwe Sign Language,0
Iraya,0
Sebuyau,0
Nukeria,0
Bisu,0
Aché,0
Xiriâna,0
Diriku,0
Mugom,0
Pasi,0
Warapu,0
Bundeli,0
Aruek,0
Pontic,0
Inga,0
Sinyar,0
Malol,0
Paiwan,0
Kanu,0
Palikúr,0
Lucumi,0
Hibito,0
Kung-Ekoka,0
Broome Pearling Lugger Pidgin,0
Tuxá,0
Torona,0
Bilaspuri,0
Veps,0
Bobongko,0
Tawara,0
Ubi,0
Kuanhua,0
Mbugwe,0
Kodava,0
Tifal,0
Dugwor,0
Louisiana Creole,0
Cuiba,0
Twana,0
Abenaki,0
Enawené-Nawé,0
Khaling,0
Ziriya,0
Parakanã,0
Tabla,0
Lelak,0
Yango,0
Kire,0
Baikeno,0
Achagua,0
Kaningra,0
Naba,0
Moikodi,0
Kucong,0
Biangai,0
Mutu,0
Nzakara,0
Isaka,0
Jula,0
Urim,0
La’bi,0
Kamo,0
Ngantangarra,0
Koya,0
Choctaw,0
Kacchi,0
Kanoé,0
Igede,0
Zinza,0
Lobala,0
Iwaidja,0
Marik,0
Melo,0
Chamorro,0
Mualang,0
Laura,0
Alyawarr,0
Koko Babangk,0
Chamalal,0
Hano,0
Uyghur,0
Zangwal,0
Umbundu,0
Dikaka,0
Popoluca,0
Onin,0
Coeur d’Alene,0
Parachi,0
Paicî,0
Kalao,0
Jandavra,0
Borna,0
Jina,0
Tsaukambo,0
Morigi,0
Simbari,0
Baba,0
Tanimuca-Retuarã,0
Mbum,0
Makhuwa-Marrevone,0
Dolgan,0
Waxianghua,0
Fulfulde,0
Kangean,0
Phuong,0
Pushto,0
Umatilla,0
Nobiin,0
Mbay,0
O’chi’chi’,0
Dororo,0
Berinomo,0
Yelogu,0
Igwe,0
Bungain,0
Gowlan,0
Guwa,0
Borong,0
Jakalteko,0
Koy Sanjaq Surat,0
Xibe,0
Sinicized Miao,0
Tofanma,0
Repanbitip,0
Kituba,0
Krio,0
Wané,0
Adithinngithigh,0
Brahui,0
Turumsa,0
Scots,0
Buso,0
Wojenaka,0
Phuan,0
Deno,0
Eloyi,0
Kowiai,0
Teke-Laali,0
New Zealand Sign Language,0
Gwahatike,0
Sawi,0
Kashaya,0
Tatar,0
Nakai,0
Warungu,0
Nake,0
Bila,0
Puerto Rican Sign Language,0
Yali,0
Nete,0
Ngbaka Ma’bo,0
Teor,0
Jad,0
Ukuriguma,0
Yagara,0
Bunama,0
Mapia,0
Angika,0
Likuba,0
Chippewa,0
Betaf,0
Phula,0
Bwela,0
Kélé,0
Mari,0
Tai Daeng,0
Barbareño,0
Katua,0
Kursav,0
Tobilung,0
Wedau,0
Iatê,0
Nubaca,0
Tal,0
Chuj,0
Emai-Iuleha-Ora,0
Beti,0
Kakabe,0
Rawang,0
Bullom So,0
Minangkabau,0
Vangunu,0
Tswana,0
Gongduk,0
Aka-Bo,0
Inuktitut,0
Shua,0
Yamdena,0
Mongondow,0
Roma,0
Yuhup,0
Mazahua,0
Gimnime,0
Towei,0
Kamantan,0
Tutchone,0
Ngaanyatjarra,0
Ahtena,0
Nanubae,0
Nande,0
Tairora,0
Gabri,0
Kare,0
Senhaja Berber,0
Lelepa,0
Karachay-Balkar,0
Kurti,0
Epie,0
Aukan,0
Taíno,0
Guarayu,0
Gamit,0
Banda-Ndélé,0
Wotu,0
Papasena,0
Babar,0
Taupota,0
Pare,0
Warwar Feni,0
Kandawo,0
Kami,0
Apiaká,0
Tedaga,0
Puragi,0
Punan Batu,0
Mbelime,0
Laz,0
Haitian Vodoun Culture Language,0
Ga’anda,0
Chru,0
Guarequena,0
Bandi,0
Lohorung,0
Yuanga,0
Latu,0
Tonga,0
Breri,0
Hovongan,0
Tairaha,0
Amba,0
Rongpo,0
Bahinemo,0
Gugadj,0
Yinbaw,0
Tokelauan,0
